codigo,nombre,link,contenidos_minimos,objetivos_aprendizaje,contenidos_titulo,contenidos_descripcion,actividades_descripcion
10.07,Creatividad,https://drive.google.com/file/d/1l7wDGzhnh32Bfp3VJsKKLn4YTT8vR4Ge/view?usp=drivesdk,"Que se entiende por creatividad. Características de una personalidad creativa. Elementos de la creatividad: persona, propósito, ambiente, proceso y técnicas. Modelo de aprendizaje y de memoria. CV de la persona creativa. Tipos de pensamiento. Modelo de comportamiento de la persona. Ejercicio de modelos de comportamiento. Test de creatividad. Límites de la creatividad relacionados al entorno.",Desarrollar actitudes y herramientas que le permitan aplicar procesos formales para la resolución creativa de problemas.,Concepto de creatividad|||La personalidad creativa|||Mente y cerebro creativo|||Bloqueos a la creatividad|||Factor tiempo|||Propósito de la creatividad|||Ambientes creativos|||Proceso Creativos|||Técnicas|||Evaluaciones|||Aplicaciones|||Equipos creativos,"Alcanzando una definición del tema. Los ingredientes principales. La nueva mirada. Aromas y sabores de la creatividad. Digestión aplicada.|||Conociendo mi postura y capacidades frente al tema. Fortalezas y debilidades propias. Constancia y confianza. Imaginación, conocimientos, actitud. ¿Qué tienen en común las personas más creativas?|||Consideraciones sobre la gestión de la base administradora de ideas|||Barreras interiores y exteriores: percepciones, cultura, emociones y creatividad.|||Influencia de la variable tiempo en los procesos creativos|||Vinculaciones de la creatividad y nuestra actividad profesional|||Cultura. Organizaciones y recursos. Ambientes físicos. Ambientes psicológicos.|||Metodologías para innovación y resolución de temas. Etapas, habilidades y compromisos.|||Técnicas para entender el tema. Técnicas para generar alternativas. Técnicas individuales, en equipo y grupales.|||Diferentes criterios para analizar soluciones alternativas y seleccionar las que se deban implementar o elaborar.|||Comunicación. Psicología. Educación. Desarrollo personal. Desarrollo social. Desarrollo de negocios. Creación artística. Desarrollo de productos. Gestión de la innovación.|||Gestión de Equipos creativos. Características. Generación. Convocatoria. Dinámicas de grupos. Devolución.",Los alumnos analizarán casos reales presentados por la cátedra y se discutirán las ventajas del empleo del pensamiento creativo y las distintas técnicas de la creatividad.|||Los alumnos eligirán casos reales que estén a su alcance y presentarán ideas de innovación y creatividad. Se pedirá que las ideas y soluciones innovadoras planteadas sean originales.
10.09,Formación para Emprendedores,https://drive.google.com/file/d/1ljCGMXPhKdUNvW3c13qxekHEuMCfvvt-/view?usp=drivesdk,"Contexto y Cultura del Emprendedor. El Emprendedor, su desarrollo Personal y Empresarial. El Proceso Emprendedor Profesional. El Equipo Emprendedor y el Management Requerido. Búsqueda de Ideas y Oportunidades. Validación de Ideas y Oportunidades. Modelización del Emprendimiento. Estrategias para el Acceso a Recursos Claves para Emprender.","En esta materia expone a los alumnos a:
• Fortalecer las capacidades de trabajo en equipos multidisciplinarios.
• Introducir a las nuevas formas de innovar, a través de la compresión de problemas relevantes de la sociedad.
• Poner en práctica nuevas herramientas de análisis de mercado a través de desafiarnos a salir del área de confort para validar la viabilidad del emprendimiento. 
• Desarrollar un modelo de negocios validado.		
• Poner en práctica una experiencia real vinculada a la presentación (pitch) de su emprendimiento frente a docentes, emprendedores y actores del ecosistema Emprendedor.",Módulo 1: ¿Cómo detectar una oportunidad de negocios?|||Módulo 2: Ajuste Problema/ Mercado|||Módulo 3: Ajuste Problema/Solución|||Módulo 4: Ajuste Solución/ Mercado|||Módulo 5: Ajuste estrategia Comercial|||Módulo 6:  Consolidar el equipo|||Módulo 7: Ajuste modelo de negocios|||Módulo 8: Cómo enamorar con nuestra historia,"La importancia de pensar en problemas como disparador de innovación.
La trinidad de la innovación y los 10 tipos de innovación.
Modelo de Negocios, primero el problema.
Metodologías Lean Startup, Desing Thinking, Runnning Lean (lean Canvas)
Los 10 tipos de innovación. |||Cómo segmentar clientes y usuarios por relevancia del problema.
Del mercado potencial al mercado inicial.
Estrategias de validación con foco ajuste problema - cliente.|||Del entendimiento del problema al bosquejo de una solución que nos permita capturar valor.
Propuesta Única de valor (ajuste problema - solución).
Modelos de ingresos y estrategia de precio.
Proceso Demo - Sell -Build.|||Concepto de producto mínimo viable (PMV).
Metodología para diseñar productos ajustados al cliente (Ajuste producto - mercado).|||Estrategias de comercialización según el estadio del emprendimiento.
Go to market model.
Métricas de desempeño.
Go to market model|||Concepto de ventaja injusta.
Propiedad intelectual.
Consideraciones a la hora de constituir un equipo sólido para llevar a cabo el emprendimiento.
Capital social.|||Ajustes para alcanzar el criterio mínimo de éxito
Mercado: TAM, SAM y SOM.
Costos e inversiones para cada etapa
Métricas para medir la viabilidad económica (PE, CAC, LTV y ROI).
Financiamiento de emprendimientos.|||Definición de Pitch, contenido, público, técnicas de presentación.
Elevator Pitch
Ecosistema emprendedor","Al finalizar el estudio de los elementos teórico prácticos de la semana se tendrá acceso a un quizz o actividad a completar, la misma se desarrolla online y se da un espacio de tiempo limitado para completarla, la duración varia entre 10 y 30 minutos dependiendo de si es un quizz o una actividad, la instancia de evaluación es individual.
Vencido el plazo de evaluación los alumnos tendrán acceso a las respuestas y comentarios del docente para completar su aprendizaje.
La calificación es por grado de participación.|||Esta actividad es grupal con calificación individual según su participación en el equipo.
Todas las semanas deberán realizar una entrega del avance hasta presentar el modelo completo en la semana 11. Las entregas son por la plataforma de BB.
Las entregas de avance se califican por participación y grado de avance.
La entrega definitiva se califica en base 10 y si bien el trabajo es grupal podrán tener distintas notas según su aporte al trabajo.
El docente a cargo del grupo los acompaña durante el desarrollo del modelo de negocios además los grupos disponen de 3 instancias de co creación y el acceso al los docentes asociados para consultas.|||La actividad consiste en video Pitch de 3 minutos por grupo que se entrega por la plataforma BB (se entrega la semana anterior a la finalización de cursada) y una instancia virtual, de media hora máximo, donde cada grupo se presenta en conjunto y cada alumno debe responder las preguntas que realice el docente, la evaluación es individual y se pondera con el  puntaje del video Pitch. La defensa se coordina por grupo para la ultima semana de cursada."
11.36,Innovación y Competitividad,,,,,,
12.83,Seguridad Ocupacional y Ambiental,https://drive.google.com/file/d/1Zj6A9ER3MCddvpL4HCpnDFy0dKTZkIjD/view?usp=drivesdk,"Introducción. Servicios de Medicina, Higiene y Seguridad. Edificios. Condiciones de Higiene. Condiciones de Seguridad. Accidentes. Actividades sobre Seguridad e Higiene en el Trabajo. Introducción al estudio del medio ambiente. Legislación ambiental. Sistemas de Gestión medioambiental. Etapas de implementación de la ISO 14001. Análisis de casos.","Los objetivos de la asignatura son que el estudiante logre:
• comprender los conceptos de higiene, seguridad y medio ambiente (HSMA) con una mirada práctica que le permita situarse rápidamente en estos temas en las organizaciones en las que se desempeñe.
• interiorizarse con los sistemas de gestión de salud y seguridad en el trabajo y medio ambiente.
• desarrollar una mirada práctica y crítica, integrando los conceptos de la materia con cada especialidad para formarse como un profesional comprometido con estos temas.
• describir e interpretar la problemática de las distintas áreas pudiendo priorizar alternativas que alimentaran el proceso de toma de decisión para la gestión de las actividades precitadas.",1. Introducción a la Higiene y Seguridad Ocupacional.|||2. Conceptos básicos.	|||3. Requisitos legales.	|||4. Temas técnicos.	|||5. Administración de riesgos.	|||6. Programa de seguridad efectivo.	|||7. Sistemas de Gestión de Salud y Seguridad Ocupacional.	|||8. Introducción al estudio del ambiente	|||9. Residuos y contaminación ambiental	|||10. Desarrollo sustentable	|||11. Legislación ambiental	|||12. Sistemas de Gestión Ambiental.	|||13. Evaluación de Impacto Ambiental	|||14. Gestión de emergencias ambientales,"Riesgos tecnológicos y riesgos laborales: definición y ejemplos. Importancia de tenerlos en cuenta. Principios y definiciones de la Higiene y Seguridad: salud, sitio de trabajo, peligro, riesgo, riesgo aceptable, accidente, accidente in-itienere, enfermedad profesional. ¿Por qué es importante la Higiene y Seguridad Laboral? Consecuencias para el empleador y el empleado. Cifras de referencia.|||Modelos de accidentes. ¿Por qué ocurren los accidentes? Identificación de peligros y evaluación de riesgos. Concepto de Barreras preventivas y protectivas. Medidas de minimización de riesgos.
|||Pirámide de documentación. Principales Leyes, Decretos y resoluciones relacionadas con la Higiene y Seguridad Laboral en Argentina. Fuentes de información. Ley Higiene y Seguridad, Ley de ART, Decreto 351/79, Decreto 658/96. Ley de Riesgos del Trabajo 24.557: ¿Por qué es obligatorio su cumplimiento?. Rol del Empresario y de las Aseguradoras de Riesgos del Trabajo (ART’s). Prestaciones en especie: prevención de riesgos; asistencia médico farmacéutica; servicios de emergencia y traslados; rehabilitación, recalificación profesional; prótesis; servicio fúnebre. Prestaciones dinerarias: salarios caídos, indemnización por incapacidad permanente o muerte.
|||Tipos de peligros y riesgos, medidas de prevención y de protección: contaminación del ambiente laboral, riesgos mecánicos, aparatos y aparejos para izar, riesgos eléctricos, conceptos de iluminación, ruidos en el amiente de trabajo, protección contra incendios. Señalizaciones. Espacios confinados. Ergonomía. Herramientas para identificación de causas raíz.
|||El circuito de las pérdidas. Ciclo de gerenciamiento del riesgo: identificación – análisis - evaluación, tratamiento y financiación de los riesgos. Rol de la prevención en el tratamiento y reducción de riesgos. Costo de la protección vs. costo de las no conformidades.
|||Cómo se mide el éxito de un programa de seguridad. Cuál es el rol de la dirección. Elementos que conforman un Programa de Seguridad Efectivo: • Investigación y análisis de incidentes: cómo se reporta e investiga un incidente/accidente, rol del supervisor en dicha tarea, clasificación por tipo de agentes, análisis de tendencias y de las diversas clases de no conformidades. Fijación de objetivos y planes de acción. Benchmarking. • Relevamientos previos a la no conformidad: su identificación y control. Análisis de seguridad del puesto de trabajo. • Seguridad basada en el comportamiento: teoría del comportamiento humano. Modelos tradicionales de seguridad vs. programa de seguridad basado en el comportamiento de los RRHH. Capacitación (no sé hacerlo) vs. motivación (no quiero hacerlo). Control del comportamiento deseado a través de la administración de consecuencias. • Control de Pérdidas Catastróficas: a través de la administración de Riegos • Salud y primeros auxilios: a través del departamento de medicina laboral (interno o externo) • Comité de seguridad: rol y responsabilidades de sus integrantes. Problemas más comunes que atentan contra su efectividad y cómo manejarlos.
|||Introducción a los Sistemas de Gestión. Concepto de sistema de gestión. Ciclo PDCA. Para qué sirven los sistemas de gestión. Cuáles son los sistemas de gestión más conocidos. Proceso de certificación. Definiciones y metodología. Elementos que constituyen un sistema de gestión. Norma OHSAS 18001:2007. Análisis de las distintas etapas que componen un sistema de gestión. Compromiso de la Dirección. Asignación de recursos. No conformidades, acciones correctivas y acciones preventivas. Preparación y respuesta ante la emergencia. Sistemas integrados.
|||Los componentes ambientales: litósfera, atmósfera e hidrósfera. La biósfera: composición, balances de materia y energía, biomas principales, taxonomía general, evolución de las especies, extinción. Ecología: niveles de organización (poblaciones, comunidades y ecosistemas), interacciones intra e interespecíficas, concepto de nicho ecológico, estrategias de vida r y K, biogeorgafía de islas, disturbios. Biodiversidad: conceptos e índices de riqueza y abundancia, enfoques de diversidad ?, ? y ?; ejemplos de bioindicación.
|||Clasificación de contaminantes, impacto sobre suelo, aire y agua, efecto invernadero, lluvia ácida, material particulado, smog, BTEX, PAH, CFC y la ozonósfera, dioxinas, PCBs, metales pesados, agroquímicos y eutroficación. Clasificación general de residuos, tipificación de residuos especiales, peligrosos y patogénicos, responsabilidades legales, alternativas de tratamiento, uso y disposición final. Efluentes líquidos y gaseosos: caracterización de corrientes, algunos analitos comunes (DQO y DBO5); tratamientos primarios, secundarios y terciarios; biodegradación, mineralización, generación de lodos. Concepto de límites de vuelco para el agua tratada e impacto de la contaminación sobre el ambiente y las personas (algunos ejemplos: sólidos sedimentables, cloro libre, lípidos, detergentes, coliformes fecales, pH, temperatura, DQO, DBO5, nitrógeno, fósforo, azufre, arsénico, selenio, mercurio).
|||Concepto global de desarrollo sustentable, bienes y servicios ecológicos, factores directos e indirectos de impacto antrópico, aspectos socio-económicos, político-institucionales y ecológicos, indicadores de desarrollo y sustentabilidad, balances de recursos y energía. Cambio climático: GEI y emisiones, informe del IPCC, visión geológica, meteorológica y biológica. Matriz energética en Argentina y el mundo; eficiencia energética, energías renovables. Diseño sustentable: ciclo del carbono, huella de carbono; ciclo del agua, huella hídrica, reúso del agua; huella ecológica, tecnologías para el reciclado de materiales; ejemplos de agricultura y edificación sustentables. Campo profesional de las distintas ingenierías en relación a la temática ambiental.
|||Legislación internacional vigente. Principales convenios internacionales sobre residuos y productos industriales. Legislación argentina (jerarquía de la legilslación argentina, Constitución Nacional y ambiente -Art. 41-, leyes de presupuestos mínimos - general del ambiente 25.675, bosques 26.331, glaciares 26.639 y otras). Pactos internacionales. Recurso de amparo ambiental, seguro ambiental y fondo de reparación. Derechos de incidencia colectiva; audiencia pública; rol del ciudadano, del Defensor del Pueblo, de los organismos gubernamentales (OG) y no gubernamentales (ONG) en temas ambientales. Legislación ambiental de la provincia de Buenos Aires y de la Ciudad de Buenos Aires.
|||Relación entre el medio ambiente y la industria. Serie de normas ISO 14000. Repaso de definiciones y ciclo de mejora continua. Beneficio de un Sistema de Gestión Ambiental. Elementos de un sistema de gestión ambiental. Revisión ambiental inicial, aspectos e impactos ambientales, determinación de la significancia. Desarrollo de las distintas etapas del sistema de gestión. Sistemas integrados de gestión. Cambios en las nuevas revisiones.
|||Definición y utilidad de la EIA. Aspectos legales internacional, nacional y provincial. Etapas de EIA: categorización de solicitudes, manifiesto de impacto ambiental, estudio técnico de impacto ambiental (EsIA), dictamen técnico, declaración de impacto ambiental (DIA), certificado de aptitud ambiental. El Estudio de Impacto Ambiental (EsIA) como eje del procedimiento: contenidos mínimos; identificación de efectos e impactos (aspectos conceptuales y técnicos); uso de índices, diagramas de flujo, superposición de imágenes, listas de chequeo. Evaluación de impactos: metodologías más usuales, métodos cuali y cuantitativos, uso de matrices, modelos y otros instrumentos de análisis; impactos significativos y no significativos; valoración de impactos. Planes de gestión ambiental: formulación de deseos o propuestas de acción; programas de mitigación y programas de vigilancia ambiental y monitoreo como herramientas básicas; control de cumplimiento; planes de contingencias.
|||Acciones inmediatas, seguimiento, manejo de ecosistemas (rehabilitación, remediación, reemplazo, mitigación, compensación y mejoramiento), gestión ambiental de los ambientes acuáticos y terrestres. Organismos nacionales e internacionales.","Caso de aestudio de accidente laboral a partir del cual se identifican y proponen nuevas barreras de tipo preventivas y protectivas.
|||Identificación de parámetros en legislación en aguas y consecuencias para la salud.
|||Cálculo de índices de biodiversidad.
|||Análisis de alternativas y selección de tratamiento de efluentes líquidos.
|||Aplicación del procesos de diseño para desarrollo sustentable de Van Hemel.
|||Elaboración de matriz de importancia."
16.04,Neurociencias y Desarrollo Productivo,https://drive.google.com/file/d/15Qp6n5ObHuVfg0YAvBytmFb7-xHNkMP0/view?usp=drivesdk,"Introducción a la neurociencia cognitiva. Neuroanatomía funcional. Aprendizaje, recompensa y motivación. Procesos mnésicos. Sueño. Sueño y memoria. Atención. Ceguera atencional. Toma de decisiones. Resolución de problemas, pensamiento creativo y sueño. Emoción. Estrés como modulador de procesos cognitivos. Burned out. Sueño y rendimiento laboral. Recompensa y motivación. Mindfulness y cambios neurofisiológicos.","Se espera que lxs estudiantes:
* al finalizar la materia puedan armar rutinas de estudio y trabajo basadas en la neurociencia del sueño y la memoria que les permitan maximizar su rendimiento laboral y académico.
* adquieran las herramientas necesarias para maximizar su rendimiento tanto académico como laboral, introduciendo estrategias basadas en las neurociencias como ser: reactivación de memorias específicas a través de la presentación de olores asociados durante el sueño, siestas cortas para favorecer la limpieza de las conexiones entre las neuronas y así mejorar el aprendizaje, aumento de la creatividad a través del sueño lúcido, alinear el cronotipo al momento de tomar elecciones importantes.
* desarrollen pensamiento crítico y creativo que les permita diseñar, a nivel teórico, diferentes dispositivos destinados a mejorar la cognición y el rendimiento.",MEMORIA|||RECOMPENSA Y MOTIVACIÓN|||SUEÑO Y MEMORIA|||CRONOTIPO|||HIGIENE DE SUEÑO|||EMOCIÓN|||ESTRÉS|||FÁRMACOS|||ATENCIÓN|||INTRODUCCIÓN A LA INTERFAZ CEREBRO MÁQUINA|||TOMA DE DECISIONES|||EMPATÍA Y ALTRUISMO|||CONSCIENCIA Y SUEÑO|||,"¿Qué es la memoria? Tipos de memoria. Fases de la memoria: Adquisición, consolidación, evocación, reconsolidación, extinción y olvido. Interferencia de la memoria a distintos niveles. Labilización y Reconsolidación de la memoria. Error en la predicción, su rol en el aprendizaje y modificación de memorias. Funcionalidad de la reconsolidación de memoria. El efecto sorpresa sobre el aprendizaje. ¿Cómo puede aplicarse la reconsolidación al proceso educativo? ¿Todo lo que recordamos realmente ocurrió? Falsas memorias, formación, ventajas y desventajas. El olvido. Interacción entre memorias durante la evocación. Olvido inducido por evocación. Olvido motivado. Amnesia infantil.|||¿Qué es la motivación? Estados motivacionales: Drive States, búsqueda de alimento y Aspiraciones personales. Tipos de aprendizaje. Condicionamiento clásico e instrumental. Características. Recompensa. Procesos de refuerzo. Respuestas de acercamiento/alejamiento. Modulación de la memoria. Circuitos neuronales involucrados en la motivación y recompensa. Drogas de abuso. Aplicaciones: en el aula y en empresas. |||¿Qué es el sueño? ¿Cómo se estudia? Rol del sueño en la formación y modificación de memorias. Rol de las ondas lentas, husos de sueño y oscilaciones hipocampales en la consolidación y su efecto sobre distintos tipos de memoria. Diálogo hipocampo cortical durante el sueño. Efecto del sueño sobre la adquisición de nuevas memorias. ¿Cómo podemos inducir la mejora de memorias específicas durante el sueño? Estimulación por clave, eléctrica y estimulación acústica de lazo cerrado. Reactivación de la memoria durante el sueño de ondas lentas vs. reactivaciones en sueño de movimientos oculares rápidos. Integración de la información durante el sueño. Sueño, memoria y aprendizaje en el aula.|||Regulación homeostática y circadiana del sueño. Cronotipo: aspectos biologicos, cómo se determina. Cronotipo y Educación: ¿Cómo afecta el cronotipo el rendimiento académico?|||Higiene de sueño. Cómo una mala higiene afecta la productividad. Privación de sueño y rendimiento. Desórdenes del sueño y su impacto en la productividad. |||Estudio de las bases neurofisiológicas de la emoción. Sistema límbico y sistema nervioso autónomo. Componentes cognitivos, conductuales y fisiológicos de la emoción. Función adaptativa, motivacional y comunicativa de las emociones. Emoción, memoria y sueño. Impacto en la productividad.|||Neurobiología del estrés. Cómo el estrés afecta las diferentes fases de la memoria: adquisición, consolidación, evocación y reconsolidación. Relación entre el estrés, el sueño y la memoria.|||Modulación de la memoria, sueño y vigilia por fármacos. Efecto de la cafeína sobre el rendimiento, adquisición y consolidación de la nueva información.|||Atención. Redes atencionales. Ceguera atencional. Ceguera al cambio. Multitasking. Entrenamiento de la atención: Mindfulness. Atención y su relación con el sueño. |||Introducción a la Interfaz Cerebro-Máquina y aplicación en la clínica. Arquitectura de la Solución de BCI. Paradigmas no-invasivos: P300, Motor Imagery, Steady State Visual Evoked Potentials, Error Potentials. Machine Learning aplicado a EEG.|||Toma de decisiones. Percepción. Sesgo de confirmación. Pensamiento crítico. Motivación. Decisiones colectivas. Teoría de detección de señales.|||Burned out. Factores moderadores, individuales y contextuales. Empatía y Asertividad. Avances de la Neurociencia. Teoría de la mente. Altruismo y cooperación. Entrenamiento en habilidades sociales. Estimulación y mejora de la cognición.|||Consciencia y sueño. Sueño Lúcido y creatividad. Técnicas de inducción en el laboratorio. Estados alterados de consciencia durante el sueño. Mindfulness y cambios neurofisiológicos. Pensamiento creativo en la resolución de problemas. Sueño|||","Los trabajos se realizarán de forma grupal y presencial. En caso de que el estudiante no concurra al establecimiento ese día deberá entregarlo resuelto de forma escrita e individual. En ese caso tendrá 15 días a partir de la fecha para entregarlo. Los prácticos tendrán como objetivo consolidar el aprendizaje y generar pensamiento crítico y fomentar la creatividad. Los estudiantes recibirán la consigna de cada trabajo práctico al finalizar cada módulo teórico, en clase. Deberán discutirlo en grupo y realizar una exposición oral sobre la resolución la que se discutirá entre toda la clase. 
Método de evaluación. Los trabajos prácticos podrán tener dos tipos de nota: Aprobado, Desaprobado. Se realizarán 10 trabajos prácticos en total, de los cuales deberán tener 8 aprobados para aportar nota de concepto.|||El cine científico se desarrollará durante los horarios de cursada. Los estudiantes serán divididos en grupos, cada grupo deberá ver una película seleccionada por los docentes para luego analizarla desde el punto de vista científico y relacionarla con los temas vistos en la materia. Método de evaluación: Cada grupo deberá presentar el análisis obtenido de forma oral pudiendo utilizar el material audiovisual que deseen (PowerPoint, videos con selección de escenas, etc.). Se evaluará la exposición de cada grupo, teniendo en cuenta cómo los alumnos interpretaron la película desde el punto de vista científico, así como en la forma en la que pudieron vincularla con los contenidos de la materia. Tendrá una nota numérica (del 1-10) y se promediará con las notas de los 2 exámenes parciales para obtener la nota de cursada."
16.50,Introducción a la Bioinformática,,,,,,
16.57,Robótica Bioinspirada,https://drive.google.com/file/d/14CO-4uw7xDJ4bWodpRCggBqKKqncknAe/view?usp=drivesdk,Que es un robot? Sensores y actuadores. Robots para el estudio de sistemas biológicos. Interacción humano-robot. Cognición embebida.,"Se espera que lxs estudiantes: 
    • Incorporen herramientas básicas para el diseño e implementación de sistemas robóticos.
    • Generen una visión interdisciplinaria comprendiendo cómo pueden integrarse miradas que provienen de diferentes áreas del conocimiento para el abordaje de problemas.  
    • Desarrollen pensamiento crítico y creativo.
    • Adquieran las herramientas necesarias para aplicar, en su vida académica y profesional, los conocimientos adquiridos.",Introducción|||Sensores y actuadores|||Robots para el estudio de sistemas biológicos|||Interacción Humano-Robot|||Aspectos Filosóficos,"Que es un robot? definiciones. Robots biomiméticos. Aportes de la biología a la robótica.  Aportes de la  robótica a la biología. Autoorganización. Homeostasis y homeokinesis.   Vehículos autonomos. El problema del bien  mayor y la  máquina moral.  Puede un robot tener conciencia? Problemas éticos en el uso de robots.|||Introducción a los sensores y actuadores.  Sensores y actuadores en biología.  Sensores y actuadores analógicos y digitales.  Nociones básicas de teoría de control.  
Open loop. Closed loop.  Feedback loops (bucles de retroalimentación).  Robots propioceptivos. |||Robots biomiméticos como herramienta para el estudio de sistemas biológicos.   Ejemplos. Interacción de robots con pingüinos.   Sistemas complejos y fenómenos emergentes. Autoorganización. Comportamientos  colectivos. Ejemplos. Robots para el control de cardúmenes de peces.  Modulación del  comportamiento en cucarachas.  Vehículos de Braitenberg. |||Robots terapéuticos. La cría de foca Paro. Aibo, el perro de Sony. Boxie,  un robot que filma documentales. Robots falibles del ICD Lab, Japon.   Robots humanoides: Sofia de Hanson Robotics. El doble de Iroshi Ishiguro.  El problema del valle inquietante  (the uncanny valley).|||Cognición embebida. El cerebro como sistema aislado.  El rol del cuerpo y 
el ambiente. Umwelt. Interfaces cerebro máquina (BCI). Neuralink. Cyborgs.
Problemas éticos y morales.",En la clase práctica de sensores y actuadores lxs estudiantes aprenderán a construir dispositivos que puedan sensar el medio ambiente y responder mediante acciones utilizando placas Arduino . Se utilizarán sensores de luz (LRD) y de distancia (ultrasónicos) para medir señales del medio ambiente y servos y motores para ejecutar las acciones.  |||En la clase práctica se aplicarán los conocimientos adquiridos en la teoría y en la clase práctica de Sensores y actuadores para construir Vehículos de Braitenberg. Se espera que lxs alumnos sean capaces de construir un vehículo multisensorial como la tortuga de Grey Walter. |||En la clase práctica lxs alumnos construirán un ojo mecatrónico como un dispositivo simple que puede responder con gestos y representar emociones en su interacción con humanos.
16.82,Neurociencia Computacional,,,,,,
22.09,Fundamentos Electrónicos de la Informática,,,,,,
22.48,Procesamiento de Imágenes,https://drive.google.com/file/d/1vwqgT4KBwjAWrYjnyUUJDJB1Etgu4xPD/view?usp=drivesdk,"1 Fundamentos
2 Transformación de imágenes
3 Mejoramiento de imágenes
4 Restauración de imágenes
5 Procesamiento del Color
6 Periférico para la Conversión Analógica Digital
7 Análisis de imágenes y visión por computadora 
8 Reconstrucción de la imagen a partir de sus proyecciones
9  Compresión de imágenes","Introducir al estudiante en la representación y adquisición de imágenes digitales.
Fomentar la interpretación de imágenes en el dominio de la frecuencia.
Poner en practica la aplicación de algoritmos para extraer informacion de las imágenes (ej imagenes medicas). 
Introducir al estudiante en las diferentes áreas de aplicación del procesamiento de imágenes.",Introduccion a la vision|||Representacion de imagenes|||Señales y sistemas|||Filtros|||Mejoramiento de la imagen en el dominio espacial|||Restauracion de imagenes	|||Color en imagenes|||Morfologia|||Tomografia|||Resonancia magnetica|||Compresion de imagenes||||||||||||||||||||||||,"El sistema de vision humana. Vision perceptual,Adaptacion,Ley de weber,Ilusiones opticas.Bandas de Mach,Resolucion espacial.Enmascaramiento espacial|||Representacion de imagenes Adquisicion Ej CCD. Muestreo Cuantizacion.Percepcion.Patrones de Moire,Vecindarios,conectividad.|||Revision de conceptos de señales. Muestreo. Secuencias en 2D,Convolucion.Transformada discreta de fourier en 2D.Propiedades Ejemplos|||Filtrado en el dominio espacial.Mascaras y kernels.Filtro pasabajos. Filtros no lineales: Filtro mediana.Filtro pasa altos,Laplaciano,Mejoramiento de bordes usando el laplaciano.High boost.Filtrado en el dominio de la frecuencia.Filtrado homomorfico.|||Transformaciones en el dominio espacial. Mejoramiento del contraste. Correccion gama. Bit plane slicing. Brillo y contraste. Histograma.Equalizacion.|||Modelo de formacion de imagenes.Modelos de degradacion. Restauracion.Metodos de restauracion ej: Filtro de Wiener|||Fundamentos.Radiomeria y Fotometria. Radiancia Luminancia y brillo. Percepcioon Modelos de Color.RGB.CMY(K),HSI,YIQ.Gamut. Aquisicion del color de una imagen en CCD.Color filter Array (CFA). Filtro de Bayer.|||Operaciones Morfologicas, Erosion,Dilacion,Apertura,Cierre. Hit or mis. Extraccion de bordes.Relleno de regiones.Thinning.Segmentacion|||Definicion y usos. Concepto de proyeccion.Proyection slice theorem. Metodos de Reconstruccion.Formula de inversion de Radon. Ejemplo numerico.|||Que es ? El atomo de hidrogeno.Spin.Precesion de Larmor. El Resonador magnetico Campo magnetico, Inductores de gradiente. Inductores de RF. Reconstruccion de la imagen.|||Que es la compresion de imagenes? Redundancia. CodificacionHuffman,JPEG. DCT. Cuantizacion.Codificacion. Ejemplo.||||||||||||||||||||||||",Problemas sobre vision. Resolucion espacial. Ejercicios sobre el uso de Matlab / Python en imagenes|||Problemas sobre Representacion de imagenes en el espacio y en la frecuencia|||Implementacion de filtros |||Problemas sobre mejoramiento de imagenes en el dominio espacial|||Problemas e investigacion sobre restauracion de imagenes|||Problemas sobre imagenes en color|||Problemas sobre Morfologia|||Problemas sobre tomografia
